F.A.,Event
500,Eluréd and Elurín born. Release of Húrin. Death of Morwen.
501,Húrin comes to Doriath. Deaths of Húrin and Hardang.
502,"Dwarves of Nogrod set the Silmaril in the Nauglamír, death of Thingol, Melian returns to Valinor."
503,"Births of Eärendil and Elwing. Battle of the Thousand Caves, Battle of Sarn Athrad; death of  Mablung of the heavy hand; Lúthien wears the Silmaril. Dior and his family come to Menegroth. Final deaths of Beren and Lúthien. Dior receives the Nauglamír and Silmaril."
505,Demand made for the Silmaril.
506,"Second Kinslaying at Menegroth.Deaths of Dior, Nimloth, Celegorm, Curufin, and Caranthir. Eluréd and Elurín are abandoned to die."
507,Elwing comes to the Havens of Sirion with the Silmaril.
509,Maeglin captured and tortured.
510,"Fall of Gondolin. Deaths of Turgon, Ecthelion, Glorfindel, Maeglin, and Gothmog.Ereinion Gil-galad becomes High King of the Noldor"
511,Gondolin refugees arrive at the Havens of Sirion.
512,"Maedhros learns a Silmaril is at the Havens of Sirion, but forswears the Oath of Fëanor."
525,"Eärendil weds Elwing, Tuor and Idril depart for Valinor."
527,"The remaining Sons of Fëanor--Maedhros, Maglor, Amrod, and Amras - begin to feel tormented by their unfulfilled oath."
532,Births of Elrond and Elros.
534,Eärendil searchs for Valinor.
538,Third Kinslaying at the Havens of Sirion. Deaths of Amrod and Amras. Elrond and Elros are taken captive by Maglor. Elwing escapes with the Silmaril into the Sea. Ulmo gives her the form of a white bird and she reunites with Eärendil aboard Vingilótë.
540,Morgoth controls all of Beleriand.
542,Eärendil and Elwing come to Valinor.
545,Host of Valinor lands in Beleriand.
587,Destruction of Beleriand. Deaths of Ancalagon and Maedhros.
590,Morgoth thrust from Arda. Host of Valinor departs Middle-earth.
