S.A.,Event
"1,556",Queen Tar-Telperiën takes the Sceptre.
"1,574",Death of Tar-Súrion.
"1,590",The Three Rings are forged.
"1,600","The One Ring is forged; Barad-dûr completed; Sauron openly proclaims himself; Glorfindel, Rómestámo and Morinehtar come to Middle-earth."
"1,634",Birth of Ciryatan.
"1,693",The Three Rings are hidden; War of the Elves and Sauron begins.
"1,695",Sauron invades Eriador.
"1,697",Sack of Eregion; Death of Celebrimbor; Rivendell founded; Dwarves assail Sauron from behind; Khazad-dûm closes.
"1,699",Sauron overruns Eriador.
"1,700",Defeat of Sauron by the Númenóreans under King's Heir Minastir.
"1,701",Sauron driven from Eriador; First White Council held; Galadriel and Celeborn depart for Belfalas.
"1,731",Death of Tar-Telperiën; Tar-Minastir takes the Sceptre.
"1,800",Birth of Atanamir; Lond Daer Enedh constructed.
"1,869",Tar-Ciryatan takes the Sceptre.
"1,873",Death of Tar-Minastir.
"1,986",Birth Tar-Ancalimon.
"2,029",Tar-Atanamir takes the Sceptre.
"2,035",Death of Tar-Ciryatan.
"2,136",Birth of Telemmaitë.
"2,221",Death of Tar-Atanamir; Tar-Ancalimon takes the Sceptre.
"2,251",Elven tongue is forsworn in Númenor by King's Men; Nazgûl appear.
"2,277",Birth of Vanimeldë.
"2,280",Haven of Umbar founded.
"2,286",Birth of Herucalmo.
"2,350",Pelargir is built. It becomes the chief haven of the Faithful Númenóreans.
"2,386",Death of Tar-Ancalimon; Tar-Telemmaitë takes the Sceptre of Annúminas.
"2,406",Birth of Alcarin.
"2,516",Birth Tar-Calmacil.
"2,526",Death of Tar-Telemmaitë; Queen Tar-Vanimeldë takes the Sceptre.
"2,618",Birth of Ardamin.
"2,630",Birth of Gimilzagar.
"2,637",Death of Tar-Vanimeldë; Herucalmo as Tar-Anducal seizes the Sceptre.
"2,657",Death of Tar-Anducal; Tar-Alcarin takes the Sceptre.
"2,709",Birth of Adûnakhôr.
"2,737",Death of Tar-Alcarin; Ar-Belzagar takes the Sceptre.
"2,798",Birth of Zimrathôn; Sauron withdraws from the shores.
"2,825",Death of Ar-Belzagar; Ardamin as Ar-Abattârik takes the Sceptre.
"2,876",Birth of Sakalthôr.
"2,899",Death of Ar-Abattârik; Ar-Adûnakhôr takes the Sceptre.
"2,960",Birth of Gimilzôr; Elven tongue abandoned in Númenor.
"2,962",Death of Ar-Adûnakhôr; Ar-Zimrathôn takes the Sceptre.
"3,033",Death of Ar-Zimrathôn; Ar-Sakalthôr takes the Sceptre.
"3,035",Birth of Inziladûn.
"3,044",Birth of Gimilkhâd.
"3,102",Death of Ar-Sakalthôr; Ar-Gimilzôr takes the Sceptre.
"3,117",Birth of Míriel; Elves no longer permitted entrance to Númenor; Elven tongue forbidden in Númenor.
"3,118",Birth of Pharazôn.
"3,119",Birth of Elendil.
"3,175",Repentance of Tar-Palantir (according to the Tale of Years).
"3,177","Death of Ar-Gimilzôr, Tar-Palantir takes the Sceptre; Civil War in Númenor; Prophecy of the White Tree given."
"3,209",Birth of Isildur.
"3,219",Birth of Anárion.
"3,243",Death of Gimilkhâd.
"3,255",Death of Tar-Palantir; Ar-Pharazôn seizes the Sceptre.
"3,261",Ar-Pharazôn lands at the Haven of Umbar.
"3,262",Sauron taken to Númenor as prisoner.
"3,299",Birth of Elendur.
"3,310",The Great Armament begins construction.
"3,316",Amandil sails to Aman.
"3,318",Birth of Meneldil.
"3,319",Downfall of Númenor; Deaths of Ar-Pharazôn and Míriel.
"3,320",Arnor and Gondor founded.
"3,339",Birth of Aratan.
"3,379",Birth of Ciryon.
"3,399",Birth of Cemendur.
"3,429",Sauron takes Minas Ithil.
"3,430",Last Alliance formed; birth of Valandil.
"3,431",Last Alliance marches to Imladris.
"3,434",Battle of Dagorlad; Siege of Barad-dûr; deaths of Amdír and Oropher.
3.440,Death of Anárion.
"3,441",Deaths of Ereinion Gil-galad and Elendil; defeat of Sauron.
