T.A.,Event
1248,"Minalcar defeats a large army of Easterlings. He takes the name Rómendacil.About this time, construction on the Argonath begins."
1250,"Minalcar (Rómendacil II) sends his son, Valacar, as an ambassador to the self-styled King of  Rhovanion, Vidugavia, prince of the Northmen, in order to better understand their customs."
1255,Birth of Vinitharya (Eldacar) of Gondor in  Rhovanion.
1259,Birth of Castamir of Gondor.
1260,"Valacar recalled from  Rhovanion, by his father, to return to Gondor."
1272,Death of King Celebrindor: Malvegil becomes the sixth King of Arthedain.
1294,Death of King Narmacil I: Calmacil becomes the eighteenth King of Gondor.
1300,"The Nazgûl reappear, the Witch-king founds the Kingdom of Angmar. Orcs increase in the Misty Mountains and attack the Dwarves. Hobbits move westward; some settling in Bree."
1304,Death of King Calmacil: Rómendacil II becomes the nineteenth King of Gondor.
1309,Birth of Arveleg I of Arthedain.
1330,Birth of Aldamir of Gondor.
1344,"Death of Vidumavi (Galadwen), wife of King Valacar."
1349,Death of King Malvegil: Argeleb I becomes the seventh King of Arthedain.
1356,Death of King Argeleb I: Arveleg I becomes the eighth King of Arthedain. About this time some Stoors return to the Gladden Fields.
1366,Death of King Rómendacil II: Valacar becomes the twentirth King of Gondor.
1391,Births of Araphor of Arnor and Vinyarion (Hyarmendacil II) of Gondor.
1409,"The Witch-king of Angmar invades Arnor, destroys the Tower of Amon Sûl, occupies Rhudaur and ravages Cardolan. Death of King Arveleg I: Araphor becomes the ninth King of Arthedain."
1432,Death of King Valacar: Eldacar (born Vinitharya) becomes the twenty-first King of Gondor. Start of the Kin-strife.
1437,"King Eldacar deposed: Castamir ""the Usurper"" becomes the twenty-second King of Gondor. Osgiliath-stone lost in Anduin."
1447,Battle of the Crossings of Erui and the Siege of Pelargir. Death of King Castamir: Eldacar regains the kingship of Gondor. End of the Kin-Strife.
1448,Rebels of the sons of Castamir escape the Siege of Pelargir and seize the Haven of Umbar.
1454,Birth of Minardil of Gondor.
1473,Birth of Argeleb II of Arthedain.
1490,Death of King Eldacar: Aldamir becomes the twenty-third King of Gondor.
1516,Birth of Telemnar of Gondor.
1540,Death of King Aldamir: Vinyarion becomes the twenty-fourth King of Gondor.
1551,King Vinyarion defeats the Haradrim and assumes name Hyarmendacil II.
1553,Birth of Arvegil of Arthedain.
1577,Birth of Tarondor of Gondor.
1589,Death of King Araphor: Argeleb II becomes the tenth King of Arthedain.
