date,event,age
730,Aldarion makes his second journey to Mithlond.,SA
733,Aldarion returns to Númenor.,SA
735,"Aldarion makes his third journey to Middle-earth, visiting the coasts as far south as the Bay of Belfalas.",SA
739,"Aldarion returns to Númenor, bearing gifts from Gil-galad to his father Meneldur.",SA
740,Tar-Elendil surrenders the Sceptre; Tar-Meneldur becomes the fifth King of Númenor.,SA
750,Eregion is founded and construction on Ost-in-Edhil begins.Aldarion founds the Guild of Venturers.,SA
751,"Death of Tar-Elendil, fourth King of Númenor.",SA
771,Birth of Erendis.,SA
799,Birth of Soronto.,SA
800,Aldarion proclaimed the King's Heir.,SA
806,Aldarion's seven-year voyage.,SA
813,Aldarion returns to Númenor.,SA
816,Palarran completed; Aldarion's four year voyage.,SA
820,Aldarion returns to Númenor; Tar-Meneldur rescinds Aldarion's authority.,SA
824,Aldarion's five year voyage.,SA
829,Aldarion returns and immediately sets out upon his fourteen year voyage.,SA
840,Birth of Nessanië.,SA
843,Aldarion returns to Númenor; Tar-Meneldur restores authority.,SA
850,Aldarion and Erendis sail to Andúnië.,SA
852,Birth of Hallacar.,SA
858,Aldarion is betrothed to Erendis.,SA
861,Aldarion and Erendis forswear wedding until his return.,SA
863,Aldarion's six year voyage.,SA
869,Aldarion returns to Númenor; first shadow appears on sailing to Middle-earth.,SA
870,Wedding of Aldarion and Erendis.,SA
873,Birth of Ancalimë.,SA
877,Hirilondë completed; Aldarion's second five year voyage.,SA
880,Ancalimë learns her father is Lord Aldarion.,SA
882,Aldarion returns. Seperation of Aldarion and Erendis.,SA
883,Tar-Aldarion takes the Sceptre.,SA
892,Ancalimë proclaimed King's Heir and changes law of marriage.,SA
900,Death of Caliondo.,SA
942,Death of Meneldur.,SA
985,Drowning of Erendis.,SA
"1,000",Sauron begins construction on Barad-dûr; Ancalimë weds Hallacar.,SA
"1,003",Birth of Anárion.,SA
"1,075",Queen Tar-Ancalimë takes the Sceptre.,SA
"1,098",Death of Tar-Aldarion.,SA
"1,174",Birth of Súrion.,SA
"1,200",Ereinion Gil-galad turns away Annatar; Númenóreans begin to construct permanent havens.,SA
"1,211",Death of Hallacar.,SA
"1,280",Tar-Anárion takes the Sceptre.,SA
"1,285",Death of Ancalimë.,SA
"1,320",Birth Telperiën.,SA
"1,350","After this time, Galadriel and Celeborn leave Eregion and go to Lothlórien.",SA
"1,394",Tar-Súrion takes the Sceptre.,SA
"1,404",Death of Tar-Anárion.,SA
"1,474",Birth of Minastir.,SA
"1,500",The Rings of Power are forged; Sauron departs Eregion.,SA
"1,556",Queen Tar-Telperiën takes the Sceptre.,SA
"1,574",Death of Tar-Súrion.,SA
"1,590",The Three Rings are forged.,SA
"1,600","The One Ring is forged; Barad-dûr completed; Sauron openly proclaims himself; Glorfindel, Rómestámo and Morinehtar come to Middle-earth.",SA
"1,634",Birth of Ciryatan.,SA
"1,693",The Three Rings are hidden; War of the Elves and Sauron begins.,SA
"1,695",Sauron invades Eriador.,SA
"1,697",Sack of Eregion; Death of Celebrimbor; Rivendell founded; Dwarves assail Sauron from behind; Khazad-dûm closes.,SA
"1,699",Sauron overruns Eriador.,SA
"1,700",Defeat of Sauron by the Númenóreans under King's Heir Minastir.,SA
"1,701",Sauron driven from Eriador; First White Council held; Galadriel and Celeborn depart for Belfalas.,SA
"1,731",Death of Tar-Telperiën; Tar-Minastir takes the Sceptre.,SA
"1,800",Birth of Atanamir; Lond Daer Enedh constructed.,SA
"1,869",Tar-Ciryatan takes the Sceptre.,SA
"1,873",Death of Tar-Minastir.,SA
"1,986",Birth Tar-Ancalimon.,SA
"2,029",Tar-Atanamir takes the Sceptre.,SA
"2,035",Death of Tar-Ciryatan.,SA
"2,136",Birth of Telemmaitë.,SA
"2,221",Death of Tar-Atanamir; Tar-Ancalimon takes the Sceptre.,SA
"2,251",Elven tongue is forsworn in Númenor by King's Men; Nazgûl appear.,SA
"2,277",Birth of Vanimeldë.,SA
"2,280",Haven of Umbar founded.,SA
"2,286",Birth of Herucalmo.,SA
"2,350",Pelargir is built. It becomes the chief haven of the Faithful Númenóreans.,SA
"2,386",Death of Tar-Ancalimon; Tar-Telemmaitë takes the Sceptre of Annúminas.,SA
"2,406",Birth of Alcarin.,SA
"2,516",Birth Tar-Calmacil.,SA
"2,526",Death of Tar-Telemmaitë; Queen Tar-Vanimeldë takes the Sceptre.,SA
"2,618",Birth of Ardamin.,SA
"2,630",Birth of Gimilzagar.,SA
"2,637",Death of Tar-Vanimeldë; Herucalmo as Tar-Anducal seizes the Sceptre.,SA
"2,657",Death of Tar-Anducal; Tar-Alcarin takes the Sceptre.,SA
"2,709",Birth of Adûnakhôr.,SA
"2,737",Death of Tar-Alcarin; Ar-Belzagar takes the Sceptre.,SA
"2,798",Birth of Zimrathôn; Sauron withdraws from the shores.,SA
"2,825",Death of Ar-Belzagar; Ardamin as Ar-Abattârik takes the Sceptre.,SA
"2,876",Birth of Sakalthôr.,SA
"2,899",Death of Ar-Abattârik; Ar-Adûnakhôr takes the Sceptre.,SA
"2,960",Birth of Gimilzôr; Elven tongue abandoned in Númenor.,SA
"2,962",Death of Ar-Adûnakhôr; Ar-Zimrathôn takes the Sceptre.,SA
"3,033",Death of Ar-Zimrathôn; Ar-Sakalthôr takes the Sceptre.,SA
"3,035",Birth of Inziladûn.,SA
"3,044",Birth of Gimilkhâd.,SA
"3,102",Death of Ar-Sakalthôr; Ar-Gimilzôr takes the Sceptre.,SA
"3,117",Birth of Míriel; Elves no longer permitted entrance to Númenor; Elven tongue forbidden in Númenor.,SA
"3,118",Birth of Pharazôn.,SA
"3,119",Birth of Elendil.,SA
"3,175",Repentance of Tar-Palantir (according to the Tale of Years).,SA
"3,177","Death of Ar-Gimilzôr, Tar-Palantir takes the Sceptre; Civil War in Númenor; Prophecy of the White Tree given.",SA
"3,209",Birth of Isildur.,SA
"3,219",Birth of Anárion.,SA
"3,243",Death of Gimilkhâd.,SA
"3,255",Death of Tar-Palantir; Ar-Pharazôn seizes the Sceptre.,SA
"3,261",Ar-Pharazôn lands at the Haven of Umbar.,SA
"3,262",Sauron taken to Númenor as prisoner.,SA
"3,299",Birth of Elendur.,SA
"3,310",The Great Armament begins construction.,SA
"3,316",Amandil sails to Aman.,SA
"3,318",Birth of Meneldil.,SA
"3,319",Downfall of Númenor; Deaths of Ar-Pharazôn and Míriel.,SA
"3,320",Arnor and Gondor founded.,SA
"3,339",Birth of Aratan.,SA
"3,379",Birth of Ciryon.,SA
"3,399",Birth of Cemendur.,SA
"3,429",Sauron takes Minas Ithil.,SA
"3,430",Last Alliance formed; birth of Valandil.,SA
"3,431",Last Alliance marches to Imladris.,SA
"3,434",Battle of Dagorlad; Siege of Barad-dûr; deaths of Amdír and Oropher.,SA
3.440,Death of Anárion.,SA
"3,441",Deaths of Ereinion Gil-galad and Elendil; defeat of Sauron.,SA
2,"Isildur plants a Sapling of the White Tree in Minas Anor.Death of Isildur - and his sons Elendur, Aratan and Ciryon - in the Disaster of the Gladden Fields. The One Ring is lost.",TA
3,Ohtar brings the Shards of Narsil to Imladris.,TA
10,"Valandil, at the age of 21, becomes the third King of Arnor.",TA
48,Birth of Eärendil of Gondor.,TA
87,Birth of Eldacar of Arnor.,TA
109,Elrond and Celebrían wed.,TA
130,"Birth of Elladan and Elrohir, twin sons of Elrond and Celebrían.",TA
136,Birth of Anardil of Gondor.,TA
158,Death of King Meneldil: Cemendur becomes the fourth King of Gondor.,TA
185,Birth of Arantar of Arnor.,TA
222,Birth of Ostoher of Gondor.,TA
238,Death of King Cemendur: Eärendil becomes the fifth King of Gondor.,TA
241,"Birth of Arwen Undómiel, daughter of Elrond and Celebrían.",TA
249,Death of King Valandil: Eldacar becomes the fourth King of Arnor.,TA
280,Birth of Tarcil of Arnor.,TA
310,Birth of Tarostar (later Rómendacil I) of Gondor.,TA
324,Death of King Eärendil: Anardil becomes the sixth King of Gondor.,TA
339,Death of King Eldacar: Arantar becomes the fifth King of Arnor.,TA
372,Birth of Tarondor of Arnor.,TA
397,Birth of Turambar of Gondor.,TA
411,Death of King Anardil: Ostoher becomes the seventh King of Gondor.,TA
420,Ostoher rebuilds Minas Anor.,TA
435,Death of King Arantar: Tarcil becomes the sixth King of Arnor.,TA
462,Birth of Valandur of Arnor.,TA
480,Birth of Atanatar I of Gondor.,TA
490,First invasion of the Easterlings.,TA
492,Death of King Ostoher: Tarostar (Rómendacil I) becomes the eighth King of Gondor.,TA
500,"Tarostar defeats the Easterlings and takes the name Rómendacil I, ""East-victor"", in token of this.",TA
515,Death of King Tarcil: Tarondor becomes the seventh King of Arnor.,TA
541,Death of King Rómendacil I: Turambar becomes the ninth King of Gondor.,TA
552,Birth of Elendur of Arnor.,TA
570,Birth of Siriondil of Gondor.,TA
602,Death of King Tarondor: Valandur becomes the eighth King of Arnor.,TA
640,Birth of Eärendur of Arnor.,TA
652,Death of King Valandur: Elendur becomes the ninth King of Arnor.,TA
654,Birth of Tarannon Falastur of Gondor.,TA
667,Death of King Turambar: Atanatar I becomes the tenth King of Gondor.,TA
726,Birth of Amlaith of Fornost.,TA
736,Birth of Eärnil I of Gondor.,TA
748,Death of King Atanatar I: Siriondil becomes the eleventh King of Gondor.,TA
777,Death of King Elendur: Eärendur becomes the tenth and last King of Arnor.,TA
811,Birth of Beleg of Arthedain.,TA
820,Birth of Ciryandil of Gondor.,TA
830,"Death of King Siriondil: Tarannon Falastur becomes the twelfth King of Gondor, beginning the line of Ship-kings.",TA
861,"Death of King Eärendur (King of Arnor) of Arnor: Division of Arnor into Arthedain, Rhudaur, and Cardolan; Eärendur's eldest son, Amlaith of Fornost, becomes the first King of Arthedain.",TA
895,Birth of Mallor of Arthedain.,TA
899,Birth of Ciryaher (later Hyarmedacil I) of Gondor.,TA
913,Death of King Tarannon Falastur: Eärnil I becomes the thirteenth King of Gondor and second Ship-king.,TA
933,Umbar seized by Eärnil I.,TA
936,Drowning of King Eärnil I: Ciryandil becomes the fourteenth King of Gondor and third Ship-king.,TA
946,Death of King Amlaith: Beleg becomes the second King of Arthedain.,TA
977,Birth of Atanatar II of Gondor.,TA
979,Birth of Celepharn of Arthedain.,TA
